,id,tid_not_to_be_used,airline,tag,tweet
1,12,5.06236E+17,United,rO(x6c15'Can,"@jordanhembrough @united I just flew them to Phoenix, got my bag and locks were also ripped off - airlines getting worse and worse !!"
2,122,5.06361E+17,United,rO(x6c15'Can,Another @united flight = another long delay. Sitting on the tarmac for 45 min so far.
3,170,5.06447E+17,American,rO(x6c15'Can,@AmericanAir pd $129 in advc for main cabin xtra seat from bcn 2 jfk and my seat was switched. flew 8 hrs w. no leg room. pls help.
4,181,5.06455E+17,American,rO(x6c15'Can,"@AmericanAir Flight 1242 is delayed, 1 gate agent handling 100 plus customers"
5,187,5.06459E+17,VirginAmerica,rO(x6c15'Can,@IIJERiiCHOII @VirginAmerica What. The. Fuck.
6,195,5.0646E+17,United,rO(x6c15'Can,"Man @united terminal C in newark is a f'in mess. Ugly, paint is chipped everywhere, missing roof panels, this is like Somalia airport level"
7,210,5.0646E+17,VirginAmerica,rO(x6c15'Can,@IIJERiiCHOII @VirginAmerica we all knew there had to be one PAX travel horror story sorry it was you man
8,243,5.06469E+17,VirginAmerica,rO(x6c15'Can,@IIJERiiCHOII @VirginAmerica And I thought I52 when somebody broke into Mianite was bad...
9,278,5.06486E+17,United,rO(x6c15'Can,"@united Lost my iPhone on UA 1439 on 8/30. Your staff four it, yay! But now it's sitting at a United counter... http://t.co/7Z3CmXtY4h"
10,297,5.06497E+17,United,rO(x6c15'Can,"@united likes to lie to its customer, I advise all to fly @giants @JetBlue watch the game in air on @DIRECTV"
11,368,5.06542E+17,United,rO(x6c15'Can,@united woke up at 3:50am &gt; back to sfo and then flight got delayed in Managua for 2 hours. Redid flights now waiting for a connecting agh!
12,419,5.06565E+17,JetBlue,rO(x6c15'Can,Homeward bound @mguino1. I'm at the @JetBlue terminal in #DC. Landing late so don't wait up 4 me.
13,497,5.06601E+17,VirginAmerica,rO(x6c15'Can,@AlexBorstein I flew @VirginAmerica this weekend to LA and it was fantastic.  Never will my ass sit in a @SouthwestAir plane again. Cheers!
14,520,5.06612E+17,SouthWest,rO(x6c15'Can,"@SouthwestAir If my kids (14 &amp; 11) are flying home from grandparents at FLL, can grandparents take them thru Security &amp; wait w/them at gate?"
15,570,5.06649E+17,VirginAmerica,rO(x6c15'Can,Never been serenaded in the air before. Best. Flight. Ever. #flight360 @VirginAmerica
16,607,5.06688E+17,United,rO(x6c15'Can,@A_Carignan38 @united at least they responded. 4 hours late just like their flights.
